id_coutt;prix_revient_site_eur;prix_revient_siege_eur;prix_revient_total_eur;taux_fg;cout_fg_dt;marge_sous_traitant_dt;cout_final_dt;marge_brute_eur;marge_brute_pct;marge_nette_eur;marge_nette_pct;detail_revient;nb_lignes_detail;somme_detail_revient;formule_excel_prix_euro;pu_site_calcule;ecart_prix_total_eur;statut_controle
22;8400.0;NULL;8400.0;0.05;420.0;2730.0;27300.0;840.0;0.05;420.0;0.045455;5400 + 3000;2;8400.0;SUM(O63:O64);8400.0;0.0;OK
23;381.122543;NULL;9909.186;0.05;495.4593;6440.971371;32204.8545;1981.837345;0.05;1486.378;0.125;9909.18612;1;9909.18612;ROUND(K65*M65+L65*N65,3);381.122543;-0.00012;OK
24;1829.388207;NULL;47564.093;0.05;2378.20465;61833.322619;154583.30225;19025.637729;0.05;16647.433;0.25;47564.093378;1;47564.093378;ROUND(K66*M66+L66*N66,3);1829.388207;-0.000378;OK
25;38112.254309;NULL;114336.762928;NULL;NULL;0.0;371594.479516;0.0;NULL;NULL;NULL;114336.762928;1;114336.762928;M71*K71;38112.254309;0.0;OK
26;1676.352847;NULL;43585.174028;NULL;NULL;46047.987902;141651.815591;14168.611662;NULL;NULL;NULL;7515.73655 + 36069.437478;2;43585.174028;SUM(O74:O75);1676.352847;0.0;OK
27;1026.099154;NULL;26678.578017;NULL;NULL;37775.799328;86705.378555;11623.32287;NULL;NULL;NULL;1219.592138 + 16083.371319 + 1829.388207 + 1219.592138 + 1143.367629 + 2744.08231 + 2439.184276;7;26678.578017;SUM(O77:O83);1026.099154;0.0;OK
28;51527.767826;NULL;51527.767826;0.05;2576.388391;33493.049086;167465.245435;10305.553565;0.05;7729.165;0.125;51527.767826;1;51527.767826;SUM(O86);51527.767826;0.0;OK
29;10500.0;NULL;10500.0;0.05;525.0;8775.0;34125.0;2700.0;0.05;2175.0;0.164773;5500 + 3000 + 2000;3;10500.0;SUM(O88:O90);10500.0;0.0;OK
30;615.384615;NULL;3076.923077;0.05;153.846154;3000.0;10000.0;923.076923;0.05;769.231;0.192308;3076.923077;1;3076.923077;M91*K91;615.384615;0.0;OK
31;640.285872;NULL;1280.571745;0.05;64.028587;1248.55745;4161.858171;384.171523;0.05;320.143;0.192308;1280.571745;1;1280.571745;M92*K92;640.285872;0.0;OK
32;686.020578;NULL;1372.041155;0.05;68.602058;1337.740128;4459.133754;411.612347;0.05;343.01;0.192308;1372.041155;1;1372.041155;M93*K93;686.020578;0.0;OK
33;1676.93919;NULL;1676.93919;0.05;83.84696;1635.01571;5450.052368;503.081757;0.05;419.235;0.192308;1676.93919;1;1676.93919;M94*K94;1676.93919;0.0;OK
34;29911.79902;NULL;29911.79902;0.05;1495.589951;29164.004045;97213.346815;8973.539706;0.05;7477.95;0.192308;3963.674448 + 3170.939559 + 2652.6129 + 2774.572114 + 0 + 6000 + 2250 + 2500 + 3300 + 3300;10;29911.79902;SUM(O96:O105);29911.79902;0.0;OK
35;600.0;NULL;15600.0;0.05;780.0;12675.0;50700.0;3900.0;0.05;3120.0;0.16;15600;1;15600.0;M106*K106;600.0;0.0;OK
36;500.0;NULL;13000.0;0.05;650.0;8450.0;42250.0;2600.0;0.05;1950.0;0.125;13000;1;13000.0;M107*K107;500.0;0.0;OK
37;9440.0;NULL;9440.0;0.05;472.0;12796.554105;30680.0;3937.401263;0.05;3465.401;0.259049;4940 + 1300 + 1300 + 600 + 1300;5;9440.0;SUM(O109:O113);9440.0;0.0;OK
38;7540.0;NULL;7540.0;0.05;377.0;7248.986924;24505.0;2230.457515;0.05;1853.458;0.1897;2600 + 520 + 4420 + 0;4;7540.0;SUM(O115:O118);7540.0;0.0;OK
39;2220.0;NULL;2220.0;0.05;111.0;1937.0;7215.0;596.0;0.05;485.0;0.17223;300 + 500 + 540 + 480 + 300 + 100;6;2220.0;SUM(O120:O125);2220.0;0.0;OK
40;250.0;NULL;250.0;0.05;12.5;163.76788;812.5;50.390117;0.05;37.89;0.126136;250;1;250.0;M126*K126;250.0;0.0;OK
41;6097.960689;NULL;6097.960689;0.05;304.898034;1981.837224;19818.372239;609.796069;0.05;304.898;0.045455;6097.960689;1;6097.960689;M127*K127;6097.960689;0.0;OK
42;34344.619541;NULL;34344.619541;0.0;34344.62;0.0;34344.62;0.0;NULL;0.0;0.0;9726.2473 + 11891.023345 + 7927.348896 + 800 + 4000;5;34344.619541;SUM(O129:O133);34344.619541;0.0;OK
43;45734.705171;NULL;45734.705171;0.0;45734.705;0.0;45734.705;0.0;0.0;0.0;0.0;45734.705171;1;45734.705171;M134*K134;45734.705171;0.0;OK
